frame,fps,num_tracks,counts_json
0,0.044,5,"{""car"": 5}"
1,0.375,5,"{""car"": 5}"
2,0.972,6,"{""car"": 5, ""bus"": 1}"
3,1.623,6,"{""car"": 5, ""bus"": 1}"
4,2.237,6,"{""car"": 5, ""bus"": 1}"
5,2.746,7,"{""car"": 6, ""bus"": 1}"
6,3.335,7,"{""car"": 6, ""bus"": 1}"
7,4.094,7,"{""car"": 6, ""bus"": 1}"
8,3.946,7,"{""car"": 7}"
9,4.621,6,"{""car"": 5, ""truck"": 1}"
10,5.106,7,"{""car"": 6, ""truck"": 1}"
11,5.591,7,"{""car"": 6, ""truck"": 1}"
12,5.93,7,"{""car"": 7}"
13,6.415,7,"{""car"": 7}"
14,6.709,8,"{""car"": 7, ""truck"": 1}"
15,7.15,7,"{""car"": 6, ""truck"": 1}"
16,7.377,7,"{""car"": 6, ""truck"": 1}"
17,7.708,7,"{""car"": 7}"
18,7.943,7,"{""car"": 6, ""truck"": 1}"
19,8.039,7,"{""car"": 7}"
20,8.178,7,"{""car"": 6, ""truck"": 1}"
21,8.301,7,"{""car"": 7}"
22,8.323,7,"{""car"": 6, ""truck"": 1}"
23,8.388,7,"{""car"": 7}"
24,8.398,7,"{""car"": 7}"
25,8.583,7,"{""car"": 6, ""truck"": 1}"
26,8.693,7,"{""car"": 6, ""truck"": 1}"
27,8.816,7,"{""car"": 6, ""truck"": 1}"
28,8.911,7,"{""car"": 6, ""bus"": 1}"
29,8.954,7,"{""car"": 7}"
30,9.055,7,"{""car"": 7}"
31,9.146,7,"{""car"": 7}"
32,9.178,7,"{""car"": 7}"
33,9.292,7,"{""car"": 7}"
34,9.267,7,"{""car"": 7}"
35,9.255,7,"{""car"": 7}"
36,9.143,7,"{""car"": 7}"
37,9.325,7,"{""car"": 7}"
38,9.434,7,"{""car"": 7}"
39,9.561,7,"{""car"": 7}"
40,9.67,7,"{""car"": 7}"
41,9.564,7,"{""car"": 7}"
42,9.492,7,"{""car"": 7}"
43,9.572,7,"{""car"": 6, ""truck"": 1}"
44,9.46,7,"{""car"": 6, ""truck"": 1}"
45,9.564,7,"{""car"": 6, ""truck"": 1}"
46,9.687,7,"{""car"": 6, ""truck"": 1}"
47,9.705,7,"{""car"": 7}"
48,9.563,7,"{""car"": 7}"
49,9.462,6,"{""car"": 5, ""truck"": 1}"
50,9.526,7,"{""car"": 7}"
51,9.848,7,"{""car"": 7}"
52,9.74,7,"{""car"": 7}"
53,9.762,6,"{""car"": 6}"
54,9.793,6,"{""car"": 6}"
55,9.944,6,"{""car"": 6}"
56,9.945,6,"{""car"": 6}"
57,9.861,6,"{""car"": 5, ""bus"": 1}"
58,9.86,6,"{""car"": 5, ""bus"": 1}"
59,9.911,6,"{""car"": 5, ""bus"": 1}"
60,9.689,6,"{""car"": 5, ""bus"": 1}"
61,9.709,6,"{""car"": 5, ""bus"": 1}"
62,9.789,6,"{""car"": 5, ""bus"": 1}"
63,9.662,6,"{""car"": 5, ""bus"": 1}"
64,9.731,6,"{""car"": 6}"
65,9.703,7,"{""car"": 7}"
66,9.537,7,"{""car"": 7}"
67,9.25,7,"{""car"": 7}"
68,9.151,7,"{""car"": 7}"
69,9.383,7,"{""car"": 7}"
70,9.279,7,"{""car"": 6, ""truck"": 1}"
71,9.213,6,"{""car"": 5, ""bus"": 1}"
72,9.04,6,"{""car"": 6}"
73,9.284,6,"{""car"": 6}"
74,9.555,6,"{""car"": 6}"
75,9.599,6,"{""car"": 6}"
76,9.671,6,"{""car"": 5, ""truck"": 1}"
77,9.676,6,"{""car"": 6}"
78,9.707,6,"{""car"": 5, ""bus"": 1}"
79,9.743,6,"{""car"": 5, ""truck"": 1}"
80,9.672,6,"{""car"": 5, ""truck"": 1}"
81,9.741,6,"{""car"": 5, ""bus"": 1}"
82,9.714,6,"{""car"": 5, ""bus"": 1}"
83,9.671,6,"{""car"": 5, ""bus"": 1}"
84,9.559,6,"{""car"": 6}"
85,9.632,6,"{""car"": 5, ""bus"": 1}"
86,9.647,6,"{""car"": 5, ""bus"": 1}"
87,9.752,5,"{""car"": 5}"
88,9.754,6,"{""car"": 5, ""truck"": 1}"
89,9.745,6,"{""car"": 5, ""truck"": 1}"
90,9.578,6,"{""car"": 5, ""truck"": 1}"
91,9.585,6,"{""car"": 5, ""bus"": 1}"
92,9.545,6,"{""car"": 5, ""truck"": 1}"
93,9.602,5,"{""car"": 4, ""bus"": 1}"
94,9.479,5,"{""car"": 4, ""truck"": 1}"
95,9.266,5,"{""car"": 4, ""truck"": 1}"
96,9.351,5,"{""car"": 4, ""bus"": 1}"
97,9.384,5,"{""car"": 4, ""bus"": 1}"
98,9.568,5,"{""car"": 4, ""truck"": 1}"
99,9.697,5,"{""car"": 4, ""bus"": 1}"
100,9.753,5,"{""car"": 4, ""bus"": 1}"
101,9.586,5,"{""car"": 4, ""truck"": 1}"
102,9.643,5,"{""car"": 4, ""truck"": 1}"
103,9.703,5,"{""car"": 4, ""truck"": 1}"
104,9.658,5,"{""car"": 4, ""truck"": 1}"
105,9.693,5,"{""car"": 4, ""truck"": 1}"
106,9.602,5,"{""car"": 4, ""truck"": 1}"
107,9.562,5,"{""car"": 4, ""truck"": 1}"
108,9.502,4,"{""car"": 3, ""truck"": 1}"
109,9.51,5,"{""car"": 4, ""truck"": 1}"
110,9.468,5,"{""car"": 4, ""bus"": 1}"
111,9.521,5,"{""car"": 5}"
112,9.494,5,"{""car"": 4, ""bus"": 1}"
113,9.478,5,"{""car"": 4, ""bus"": 1}"
114,9.538,4,"{""car"": 3, ""truck"": 1}"
115,9.581,5,"{""car"": 5}"
116,9.547,5,"{""car"": 5}"
117,9.65,5,"{""car"": 5}"
118,9.638,4,"{""car"": 4}"
119,9.59,4,"{""car"": 4}"
120,9.459,4,"{""car"": 4}"
121,9.512,4,"{""car"": 4}"
122,9.556,4,"{""car"": 3, ""truck"": 1}"
123,9.425,4,"{""car"": 3, ""truck"": 1}"
124,9.351,4,"{""car"": 3, ""bus"": 1}"
125,9.432,4,"{""car"": 4}"
126,9.5,4,"{""car"": 4}"
127,9.374,4,"{""car"": 3, ""bus"": 1}"
128,9.326,4,"{""car"": 4}"
129,9.453,4,"{""car"": 3, ""bus"": 1}"
130,9.507,4,"{""car"": 3, ""bus"": 1}"
131,9.509,4,"{""car"": 3, ""truck"": 1}"
132,9.508,4,"{""car"": 4}"
133,9.645,4,"{""car"": 3, ""bus"": 1}"
134,9.701,4,"{""car"": 4}"
135,9.815,4,"{""car"": 4}"
136,9.824,4,"{""car"": 4}"
137,9.827,4,"{""car"": 4}"
138,9.81,4,"{""car"": 4}"
139,9.965,4,"{""car"": 4}"
140,10.037,4,"{""car"": 4}"
141,10.142,4,"{""car"": 4}"
142,10.105,4,"{""car"": 4}"
143,10.108,2,"{""car"": 2}"
144,9.997,2,"{""car"": 2}"
145,10.066,2,"{""car"": 2}"
146,10.108,2,"{""car"": 2}"
147,10.206,2,"{""car"": 2}"
148,10.151,2,"{""car"": 1, ""truck"": 1}"
149,10.043,2,"{""car"": 2}"
150,10.177,2,"{""car"": 2}"
151,10.267,4,"{""car"": 4}"
152,10.201,4,"{""car"": 4}"
153,10.206,4,"{""car"": 4}"
154,10.276,3,"{""car"": 3}"
155,10.426,3,"{""car"": 3}"
156,10.347,3,"{""car"": 3}"
157,10.413,2,"{""car"": 2}"
158,10.298,3,"{""car"": 3}"
159,10.312,3,"{""car"": 3}"
160,10.31,3,"{""car"": 3}"
161,10.293,3,"{""car"": 3}"
162,10.266,3,"{""car"": 3}"
163,10.029,3,"{""car"": 3}"
164,9.87,3,"{""car"": 3}"
165,9.946,3,"{""car"": 3}"
166,9.946,3,"{""car"": 3}"
167,10.119,3,"{""car"": 3}"
168,9.907,3,"{""car"": 3}"
169,9.98,3,"{""car"": 3}"
170,10.087,4,"{""car"": 4}"
171,10.181,4,"{""car"": 4}"
172,10.279,4,"{""car"": 4}"
173,10.235,4,"{""car"": 4}"
174,10.235,4,"{""car"": 4}"
175,10.258,4,"{""car"": 4}"
176,10.272,4,"{""car"": 4}"
177,10.477,4,"{""car"": 4}"
178,10.393,4,"{""car"": 4}"
179,10.333,4,"{""car"": 4}"
180,10.119,4,"{""car"": 4}"
181,10.137,4,"{""car"": 3, ""truck"": 1}"
182,10.182,4,"{""car"": 4}"
183,10.19,4,"{""car"": 4}"
184,10.153,4,"{""car"": 4}"
185,10.274,4,"{""car"": 4}"
186,10.229,4,"{""car"": 2, ""truck"": 2}"
187,10.258,4,"{""car"": 3, ""truck"": 1}"
188,10.24,4,"{""car"": 4}"
189,10.131,4,"{""car"": 4}"
190,9.894,4,"{""car"": 4}"
191,9.961,4,"{""car"": 3, ""truck"": 1}"
192,9.835,4,"{""car"": 3, ""truck"": 1}"
193,9.816,4,"{""car"": 4}"
194,9.904,4,"{""car"": 4}"
195,9.999,4,"{""car"": 4}"
196,10.112,4,"{""car"": 4}"
197,10.168,4,"{""car"": 4}"
198,10.327,4,"{""car"": 4}"
199,10.398,4,"{""car"": 4}"
200,10.349,4,"{""car"": 4}"
201,10.385,4,"{""car"": 3, ""truck"": 1}"
202,10.435,4,"{""car"": 4}"
203,10.638,4,"{""car"": 4}"
204,10.414,4,"{""car"": 4}"
205,10.401,4,"{""car"": 4}"
206,10.64,4,"{""car"": 4}"
207,10.786,4,"{""car"": 4}"
208,10.72,4,"{""car"": 4}"
209,10.528,4,"{""car"": 4}"
210,10.534,4,"{""car"": 4}"
211,10.388,4,"{""car"": 4}"
212,10.259,4,"{""car"": 4}"
213,10.158,4,"{""car"": 4}"
214,10.098,4,"{""car"": 4}"
215,10.083,4,"{""car"": 4}"
216,9.95,4,"{""car"": 3, ""truck"": 1}"
217,9.833,4,"{""car"": 4}"
218,9.753,4,"{""car"": 3, ""truck"": 1}"
219,9.68,4,"{""car"": 4}"
220,9.583,4,"{""car"": 4}"
221,9.618,4,"{""car"": 3, ""truck"": 1}"
222,9.85,4,"{""car"": 4}"
223,10.004,4,"{""car"": 4}"
224,10.067,4,"{""car"": 4}"
225,10.125,4,"{""car"": 3, ""truck"": 1}"
226,10.022,4,"{""car"": 3, ""truck"": 1}"
227,9.984,4,"{""car"": 3, ""truck"": 1}"
228,9.794,4,"{""car"": 3, ""truck"": 1}"
229,9.928,4,"{""car"": 4}"
230,10.143,4,"{""car"": 4}"
231,10.253,4,"{""car"": 4}"
232,10.217,4,"{""car"": 4}"
233,10.376,4,"{""car"": 4}"
234,10.429,4,"{""car"": 4}"
235,10.462,4,"{""car"": 4}"
236,10.405,4,"{""car"": 4}"
237,10.568,4,"{""car"": 4}"
238,10.428,4,"{""car"": 4}"
239,10.467,4,"{""car"": 4}"
240,10.279,4,"{""car"": 4}"
241,10.319,4,"{""car"": 3, ""truck"": 1}"
242,10.277,4,"{""car"": 4}"
243,10.384,4,"{""car"": 4}"
244,10.322,4,"{""car"": 4}"
245,10.204,4,"{""car"": 4}"
246,10.355,4,"{""car"": 4}"
247,10.334,3,"{""car"": 3}"
248,10.407,3,"{""car"": 3}"
249,10.404,3,"{""car"": 3}"
250,10.103,3,"{""car"": 3}"
251,9.819,3,"{""car"": 3}"
252,9.398,4,"{""car"": 4}"
253,9.384,4,"{""car"": 4}"
254,9.571,4,"{""car"": 4}"
255,9.476,4,"{""car"": 4}"
256,9.284,4,"{""car"": 4}"
257,9.374,4,"{""car"": 4}"
258,9.538,4,"{""car"": 4}"
259,9.651,4,"{""car"": 4}"
260,9.816,4,"{""car"": 4}"
261,9.992,4,"{""car"": 4}"
262,10.145,4,"{""car"": 4}"
263,10.13,4,"{""car"": 4}"
264,10.104,4,"{""car"": 4}"
265,10.041,4,"{""car"": 4}"
